0	0	0
0	0.25	0
0	0.5	0
0	0.875	0
0	1	0
0	1.25	-0.1489445
0	1.5	-0.2911085
0	1.875	-0.491458
0	2	-0.5547615
0.2	0	0
0.2	0.25	31.64709969
0.2	0.5	63.29409969
0.2	0.875	110.7646246
0.2	1	126.588
0.2	1.25	124.067
0.2	1.5	121.134
0.2	1.875	116.686
0.2	2	115.19
0.4	0	0
0.4	0.25	63.29409969
0.4	0.5	126.588
0.4	0.875	221.5292492
0.4	1	253.176
0.4	1.25	248.096
0.4	1.5	242.2165
0.4	1.875	233.3245
0.4	2	230.341
0.6	0	0
0.6	0.25	94.92730855
0.6	0.5	189.8542184
0.6	0.875	332.2417673
0.6	1	379.689
0.6	1.25	372.1965
0.6	1.5	363.444
0.6	1.875	350.1615
0.6	2	345.667
0.8	0	0
0.8	0.25	126.2430387
0.8	0.5	252.4860773
0.8	0.875	441.7671235
0.8	1	504.742
0.8	1.25	496.066
0.8	1.5	484.282
0.8	1.875	465.7205
0.8	2	458.9675
1	0	0
1	0.25	154.4093815
1	0.5	308.8173038
1	0.875	539.9831577
1	1	615.868
1	1.25	617.4
1	1.5	600.0105
1	1.875	570.045
1	2	559.1645
1.2	0	0
1.2	0.25	177.4998474
1.2	0.5	354.9815227
1.2	0.875	618.0039009
1.2	1	689.445
1.2	1.25	714.268
1.2	1.5	685.596
1.2	1.875	642.6085
1.2	2	628.9555
1.4	0	0
1.4	0.25	204.2186021
1.4	0.5	408.3595482
1.4	0.875	688.9075144
1.4	1	733.176
1.4	1.25	766.6235
1.4	1.5	733.17
1.4	1.875	687.041
1.4	2	673.4385
1.6	0	0
1.6	0.25	233.6815331
1.6	0.5	467.1500529
1.6	0.875	734.084199
1.6	1	762.138
1.6	1.25	796.041
1.6	1.5	761.8945
1.6	1.875	716.6215
1.6	2	703.98
1.8	0	0
1.8	0.25	263.9832001
1.8	0.5	527.4226479
1.8	0.875	762.499661
1.8	1	783.384
1.8	1.25	815.641
1.8	1.5	781.822
1.8	1.875	738.299
